ANO_CONCESSAO_BOLSA;NOME_IES_BOLSA;TIPO_BOLSA;MODALIDADE_ENSINO_BOLSA;NOME_CURSO_BOLSA;NOME_TURNO_CURSO_BOLSA;SEXO_BENEFICIARIO_BOLSA;RACA_BENEFICIARIO_BOLSA;DT_NASCIMENTO_BENEFICIARIO;BENEFICIARIO_DEFICIENTE_FISICO;SIGLA_UF_BENEFICIARIO_BOLSA;MUNICIPIO_BENEFICIARIO_BOLSA;IDADE
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Logística;Noturno;M;Branca;1999-10-23;N;MG;UBERABA;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Logística;Noturno;M;Parda;1999-01-20;N;MG;UBERABA;22
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Logística;Noturno;M;Preta;1999-08-20;N;MG;CONCEICAO DAS ALAGOAS;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Medicina;Integral;F;Branca;1995-03-08;N;MG;CONCEICAO DAS ALAGOAS;26
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Medicina;Integral;M;Amarela;1998-01-28;N;MG;ARAXA;23
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Medicina;Integral;F;Parda;1997-09-07;N;MG;UBERABA;23
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Medicina;Integral;M;Parda;1998-12-24;N;MG;UBERABA;22
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Medicina;Integral;F;Branca;1999-12-18;N;MG;MONTE CARMELO;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Medicina Veterinária;Integral;F;Branca;1998-10-17;N;MG;BAMBUI;22
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Medicina Veterinária;Integral;F;Branca;2000-02-03;N;MG;UBERABA;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Medicina Veterinária;Integral;M;Branca;2000-01-21;N;MG;UBERABA;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Medicina Veterinária;Integral;F;Branca;1993-07-05;N;MG;UBERABA;27
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Medicina Veterinária;Integral;F;Parda;1995-09-21;N;MG;ARAXA;25
